دوره زمانی,sc,استخراج نفت,,,,پلایشگاه,,,,,,
,25,55.610,37.074,15.756,4725.025,63.952,12.976,8.342,5717.280,330.752,23.171,130217.160
,26,19.464,16.683,9.268,4706.488,41.708,12.976,11.122,5694.850,329.454,24.098,126908.345
,27,84.342,14.829,17.610,2939.006,77.854,41.708,13.903,3556.197,205.730,22.244,107843.268
,28,76.001,30.586,7.415,5042.931,66.732,38.927,4.634,6101.946,353.005,25.951,132850.309
22,1,67.592,25.000,17.592,3944.385,90.739,22.222,12.963,4772.706,276.107,23.148,110117.797
,2,57.407,36.111,9.259,2966.622,75.925,12.963,14.815,3589.613,207.664,33.333,124410.175
,3,84.258,27.777,9.259,3682.352,40.740,25.926,12.037,4455.646,257.765,19.444,134669.281
,4,85.184,41.666,13.889,4614.746,54.629,12.037,15.741,5583.842,323.032,17.592,127005.507
,5,24.074,37.962,5.555,5275.847,33.333,24.074,14.815,6383.775,369.309,20.370,113542.745
,6,30.555,37.962,14.815,3447.171,63.888,36.111,10.185,4171.076,241.302,22.222,103688.263
,7,35.185,33.333,7.407,6315.646,37.036,38.888,13.889,7641.932,442.095,25.926,93116.199
,8,40.740,20.370,15.741,2483.296,61.110,34.259,6.481,3004.788,173.831,22.222,134897.056
,9,83.332,18.518,6.481,2818.476,84.258,12.963,11.111,3410.356,197.293,18.518,88594.971
,10,37.036,39.814,4.630,5448.993,70.369,11.111,8.333,6593.281,381.429,18.518,124337.028
,11,55.555,18.518,6.481,3649.019,27.777,35.185,17.592,4415.314,255.431,26.851,110112.241
,12,85.184,16.666,7.407,4129.568,65.740,12.963,9.259,4996.777,289.070,23.148,127901.790
,13,18.518,19.444,13.889,5324.920,55.555,19.444,15.741,6443.154,372.744,28.703,97730.945
,14,37.036,40.740,15.741,2578.665,30.555,14.815,5.555,3120.185,180.507,29.629,110452.977
,15,61.110,40.740,5.555,4658.264,77.777,41.666,17.592,5636.499,326.078,23.148,128530.484
,16,27.777,35.185,8.333,4292.528,51.851,26.851,6.481,5193.959,300.477,22.222,105369.720
,17,35.185,17.592,14.815,2726.811,63.888,33.333,4.630,3299.441,190.877,19.444,136692.399
,18,88.888,38.888,8.333,2322.187,52.777,11.111,13.889,2809.847,162.553,23.148,124587.025
,19,33.333,19.444,14.815,3283.284,68.517,20.370,12.037,3972.774,229.830,20.370,123399.079
,20,80.554,25.926,15.741,4633.264,25.926,30.555,13.889,5606.249,324.328,18.518,138800.701
,21,37.036,27.777,12.037,2536.073,15.741,21.296,5.555,3068.649,177.525,19.444,112922.384
,22,73.147,8.333,9.259,4893.445,76.851,16.666,6.481,5921.069,342.541,21.296,137584.052
,23,54.629,41.666,15.741,5765.654,75.925,14.815,12.963,6976.442,403.596,22.222,120352.829
,24,18.518,10.185,5.555,3097.176,77.777,23.148,13.889,3747.583,216.802,22.222,103721.596
,25,55.555,37.036,15.741,4720.300,63.888,12.963,8.333,5711.563,330.421,23.148,130086.942
,26,19.444,16.666,9.259,4701.781,41.666,12.963,11.111,5689.156,329.125,24.074,126781.436
,27,84.258,14.815,17.592,2936.067,77.777,41.666,13.889,3552.641,205.525,22.222,107735.425
,28,75.925,30.555,7.407,5037.888,66.666,38.888,4.630,6095.844,352.652,25.926,132717.459
23,1,67.524,24.975,17.575,3940.441,90.649,22.200,12.950,4767.934,275.831,23.125,110007.679
,2,57.349,36.074,9.250,2963.656,75.849,12.950,14.800,3586.023,207.456,33.300,124285.765
,3,84.174,27.750,9.250,3678.670,40.699,25.900,12.025,4451.191,257.507,19.425,134534.612
,4,85.099,41.624,13.875,4610.131,54.574,12.025,15.725,5578.259,322.709,17.575,126878.502
,5,24.050,37.924,5.550,5270.571,33.300,24.050,14.800,6377.391,368.940,20.350,113429.203
,6,30.525,37.924,14.800,3443.723,63.824,36.074,10.175,4166.905,241.061,22.200,103584.575
,7,35.149,33.300,7.400,6309.331,36.999,38.849,13.875,7634.290,441.653,25.900,93023.083
,8,40.699,20.350,15.725,2480.813,61.049,34.224,6.475,3001.784,173.657,22.200,134762.159
,9,83.249,18.500,6.475,2815.658,84.174,12.950,11.100,3406.946,197.096,18.500,88506.376
,10,36.999,39.774,4.625,5443.544,70.299,11.100,8.325,6586.688,381.048,18.500,124212.691
,11,55.499,18.500,6.475,3645.370,27.750,35.149,17.575,4410.898,255.176,26.825,110002.129
,12,85.099,16.650,7.400,4125.438,65.674,12.950,9.250,4991.780,288.781,23.125,127773.888
,13,18.500,19.425,13.875,5319.595,55.499,19.425,15.725,6436.710,372.372,28.675,97633.214
,14,36.999,40.699,15.725,2576.086,30.525,14.800,5.550,3117.065,180.326,29.600,110342.524
,15,61.049,40.699,5.550,4653.605,77.699,41.624,17.575,5630.862,325.752,23.125,128401.954
,16,27.750,35.149,8.325,4288.236,51.799,26.825,6.475,5188.765,300.177,22.200,105264.350
,17,35.149,17.575,14.800,2724.084,63.824,33.300,4.625,3296.142,190.686,19.425,136555.707
,18,88.799,38.849,8.325,2319.865,52.724,11.100,13.875,2807.037,162.391,23.125,124462.438
,19,33.300,19.425,14.800,3280.001,68.449,20.350,12.025,3968.801,229.600,20.350,123275.680
,20,80.474,25.900,15.725,4628.631,25.900,30.525,13.875,5600.643,324.004,18.500,138661.900
,21,36.999,27.750,12.025,2533.537,15.725,21.275,5.550,3065.580,177.348,19.425,112809.462
,22,73.074,8.325,9.250,4888.552,76.774,16.650,6.475,5915.148,342.199,21.275,137446.468
,23,54.574,41.624,15.725,5759.889,75.849,14.800,12.950,6969.465,403.192,22.200,120232.476
,24,18.500,10.175,5.550,3094.079,77.699,23.125,13.875,3743.835,216.586,22.200,103617.875
,25,55.499,36.999,15.725,4715.579,63.824,12.950,8.325,5705.851,330.091,23.125,129956.855
,26,19.425,16.650,9.250,4697.080,41.624,12.950,11.100,5683.466,328.796,24.050,126654.655
,27,84.174,14.800,17.575,2933.131,77.699,41.624,13.875,3549.089,205.319,22.200,107627.690
,28,75.849,30.525,7.400,5032.850,66.599,38.849,4.625,6089.748,352.299,25.900,132584.741
24,1,67.456,24.950,17.557,3936.501,90.558,22.177,12.937,4763.166,275.555,23.102,109897.671
,2,57.292,36.038,9.241,2960.692,75.773,12.937,14.785,3582.437,207.248,33.266,124161.480
,3,84.090,27.722,9.241,3674.991,40.659,25.874,12.013,4446.739,257.249,19.405,134400.077
,4,85.014,41.583,13.861,4605.521,54.520,12.013,15.709,5572.680,322.386,17.557,126751.623
,5,24.026,37.887,5.544,5265.301,33.266,24.026,14.785,6371.014,368.571,20.329,113315.774
,6,30.494,37.887,14.785,3440.280,63.760,36.038,10.165,4162.738,240.820,22.177,103480.990
,7,35.114,33.266,7.392,6303.021,36.962,38.811,13.861,7626.656,441.211,25.874,92930.060
,8,40.659,20.329,15.709,2478.332,60.988,34.190,6.468,2998.782,173.483,22.177,134627.396
,9,83.166,18.481,6.468,2812.842,84.090,12.937,11.089,3403.539,196.899,18.481,88417.869
,10,36.962,39.735,4.620,5438.100,70.229,11.089,8.317,6580.101,380.667,18.481,124088.479
,11,55.444,18.481,6.468,3641.725,27.722,35.114,17.557,4406.487,254.921,26.798,109892.127
,12,85.014,16.633,7.392,4121.313,65.608,12.937,9.241,4986.789,288.492,23.102,127646.114
,13,18.481,19.405,13.861,5314.276,55.444,19.405,15.709,6430.274,371.999,28.646,97535.581
,14,36.962,40.659,15.709,2573.510,30.494,14.785,5.544,3113.948,180.146,29.570,110232.181
,15,60.988,40.659,5.544,4648.952,77.621,41.583,17.557,5625.232,325.427,23.102,128273.552
,16,27.722,35.114,8.317,4283.948,51.747,26.798,6.468,5183.577,299.876,22.177,105159.086
,17,35.114,17.557,14.785,2721.360,63.760,33.266,4.620,3292.846,190.495,19.405,136419.151
,18,88.710,38.811,8.317,2317.545,52.671,11.089,13.861,2804.230,162.228,23.102,124337.975
,19,33.266,19.405,14.785,3276.721,68.381,20.329,12.013,3964.832,229.370,20.329,123152.405
,20,80.393,25.874,15.709,4624.002,25.874,30.494,13.861,5595.043,323.680,18.481,138523.238
,21,36.962,27.722,12.013,2531.004,15.709,21.253,5.544,3062.514,177.170,19.405,112696.653
,22,73.001,8.317,9.241,4883.663,76.697,16.633,6.468,5909.233,341.856,21.253,137309.022
,23,54.520,41.583,15.709,5754.129,75.773,14.785,12.937,6962.496,402.789,22.177,120112.243
,24,18.481,10.165,5.544,3090.985,77.621,23.102,13.861,3740.091,216.369,22.177,103514.257
,25,55.444,36.962,15.709,4710.864,63.760,12.937,8.317,5700.145,329.760,23.102,129826.899
,26,19.405,16.633,9.241,4692.383,41.583,12.937,11.089,5677.783,328.467,24.026,126528.000
,27,84.090,14.785,17.557,2930.198,77.621,41.583,13.861,3545.540,205.114,22.177,107520.062
,28,75.773,30.494,7.392,5027.817,66.532,38.811,4.620,6083.658,351.947,25.874,132452.156
25,1,67.389,24.925,17.540,3932.564,90.467,22.155,12.924,4758.403,275.279,23.078,109787.774
,2,57.235,36.002,9.231,2957.731,75.697,12.924,14.770,3578.855,207.041,33.233,124037.318
,3,84.005,27.694,9.231,3671.316,40.618,25.848,12.001,4442.293,256.992,19.386,134265.677
,4,84.929,41.541,13.847,4600.915,54.465,12.001,15.693,5567.108,322.064,17.540,126624.871
,5,24.002,37.849,5.539,5260.035,33.233,24.002,14.770,6364.643,368.202,20.309,113202.458
,6,30.464,37.849,14.770,3436.839,63.696,36.002,10.155,4158.576,240.579,22.155,103377.509
,7,35.079,33.233,7.385,6296.718,36.925,38.772,13.847,7619.029,440.770,25.848,92837.130
,8,40.618,20.309,15.693,2475.854,60.927,34.156,6.462,2995.783,173.310,22.155,134492.769
,9,83.082,18.463,6.462,2810.029,84.005,12.924,11.078,3400.136,196.702,18.463,88329.451
,10,36.925,39.695,4.616,5432.662,70.158,11.078,8.308,6573.521,380.286,18.463,123964.390
,11,55.388,18.463,6.462,3638.083,27.694,35.079,17.540,4402.081,254.666,26.771,109782.235
,12,84.929,16.616,7.385,4117.192,65.543,12.924,9.231,4981.802,288.203,23.078,127518.468
,13,18.463,19.386,13.847,5308.962,55.388,19.386,15.693,6423.843,371.627,28.617,97438.045
,14,36.925,40.618,15.693,2570.937,30.464,14.770,5.539,3110.834,179.966,29.540,110121.949
,15,60.927,40.618,5.539,4644.303,77.544,41.541,17.540,5619.606,325.101,23.078,128145.278
,16,27.694,35.079,8.308,4279.664,51.696,26.771,6.462,5178.393,299.576,22.155,105053.926
,17,35.079,17.540,14.770,2718.639,63.696,33.233,4.616,3289.553,190.305,19.386,136282.732
,18,88.621,38.772,8.308,2315.228,52.619,11.078,13.847,2801.426,162.066,23.078,124213.637
,19,33.233,19.386,14.770,3273.444,68.312,20.309,12.001,3960.867,229.141,20.309,123029.252
,20,80.313,25.848,15.693,4619.378,25.848,30.464,13.847,5589.448,323.356,18.463,138384.715
,21,36.925,27.694,12.001,2528.473,15.693,21.232,5.539,3059.452,176.993,19.386,112583.956
,22,72.928,8.308,9.231,4878.780,76.620,16.616,6.462,5903.323,341.515,21.232,137171.713
,23,54.465,41.541,15.693,5748.375,75.697,14.770,12.924,6955.534,402.386,22.155,119992.131
,24,18.463,10.155,5.539,3087.894,77.544,23.078,13.847,3736.351,216.153,22.155,103410.742
,25,55.388,36.925,15.693,4706.153,63.696,12.924,8.308,5694.445,329.431,23.078,129697.072
,26,19.386,16.616,9.231,4687.690,41.541,12.924,11.078,5672.105,328.138,24.002,126401.472
,27,84.005,14.770,17.540,2927.268,77.544,41.541,13.847,3541.994,204.909,22.155,107412.542
,28,75.697,30.464,7.385,5022.789,66.466,38.772,4.616,6077.575,351.595,25.848,132319.704
26,1,67.322,24.900,17.522,3928.632,90.377,22.133,12.911,4753.644,275.004,23.055,109677.986
,2,57.177,35.966,9.222,2954.774,75.622,12.911,14.755,3575.276,206.834,33.200,123913.281
,3,83.921,27.666,9.222,3667.645,40.577,25.822,11.989,4437.850,256.735,19.366,134131.412
,4,84.844,41.500,13.833,4596.314,54.411,11.989,15.678,5561.540,321.742,17.522,126498.247
,5,23.978,37.811,5.533,5254.775,33.200,23.978,14.755,6358.278,367.834,20.289,113089.255
,6,30.433,37.811,14.755,3433.403,63.633,35.966,10.144,4154.417,240.338,22.133,103274.132
,7,35.044,33.200,7.378,6290.422,36.889,38.733,13.833,7611.410,440.330,25.822,92744.293
,8,40.577,20.289,15.678,2473.378,60.866,34.122,6.455,2992.787,173.136,22.133,134358.276
,9,82.999,18.444,6.455,2807.219,83.921,12.911,11.067,3396.735,196.505,18.444,88241.122
,10,36.889,39.655,4.611,5427.229,70.088,11.067,8.300,6566.947,379.906,18.444,123840.426
,11,55.333,18.444,6.455,3634.445,27.666,35.044,17.522,4397.679,254.411,26.744,109672.453
,12,84.844,16.600,7.378,4113.074,65.477,12.911,9.222,4976.820,287.915,23.055,127390.950
,13,18.444,19.366,13.833,5303.653,55.333,19.366,15.678,6417.420,371.256,28.589,97340.607
,14,36.889,40.577,15.678,2568.366,30.433,14.755,5.533,3107.723,179.786,29.511,110011.827
,15,60.866,40.577,5.533,4639.659,77.466,41.500,17.522,5613.987,324.776,23.055,128017.133
,16,27.666,35.044,8.300,4275.384,51.644,26.744,6.455,5173.215,299.277,22.133,104948.873
,17,35.044,17.522,14.755,2715.920,63.633,33.200,4.611,3286.263,190.114,19.366,136146.449
,18,88.533,38.733,8.300,2312.913,52.566,11.067,13.833,2798.624,161.904,23.055,124089.424
,19,33.200,19.366,14.755,3270.171,68.244,20.289,11.989,3956.907,228.912,20.289,122906.223
,20,80.233,25.822,15.678,4614.759,25.822,30.433,13.833,5583.858,323.033,18.444,138246.330
,21,36.889,27.666,11.989,2525.944,15.678,21.211,5.533,3056.392,176.816,19.366,112471.372
,22,72.855,8.300,9.222,4873.901,76.544,16.600,6.455,5897.420,341.173,21.211,137034.541
,23,54.411,41.500,15.678,5742.626,75.622,14.755,12.911,6948.578,401.984,22.133,119872.139
,24,18.444,10.144,5.533,3084.806,77.466,23.055,13.833,3732.615,215.936,22.133,103307.332
,25,55.333,36.889,15.678,4701.447,63.633,12.911,8.300,5688.751,329.101,23.055,129567.375
,26,19.366,16.600,9.222,4683.003,41.500,12.911,11.067,5666.433,327.810,23.978,126275.071
,27,83.921,14.755,17.522,2924.341,77.466,41.500,13.833,3538.452,204.704,22.133,107305.129
,28,75.622,30.433,7.378,5017.766,66.399,38.733,4.611,6071.497,351.244,25.822,132187.385
27,1,67.254,24.875,17.505,3924.703,90.287,22.111,12.898,4748.891,274.729,23.032,109568.308
,2,57.120,35.930,9.213,2951.819,75.546,12.898,14.741,3571.701,206.627,33.167,123789.367
,3,83.838,27.639,9.213,3663.977,40.537,25.796,11.977,4433.413,256.478,19.347,133997.280
,4,84.759,41.458,13.819,4591.718,54.356,11.977,15.662,5555.979,321.420,17.505,126371.748
,5,23.954,37.773,5.528,5249.520,33.167,23.954,14.741,6351.920,367.466,20.268,112976.166
,6,30.403,37.773,14.741,3429.969,63.569,35.930,10.134,4150.263,240.098,22.111,103170.858
,7,35.009,33.167,7.370,6284.131,36.852,38.694,13.819,7603.799,439.889,25.796,92651.549
,8,40.537,20.268,15.662,2470.905,60.805,34.088,6.449,2989.794,172.963,22.111,134223.918
,9,82.916,18.426,6.449,2804.412,83.838,12.898,11.056,3393.339,196.309,18.426,88152.881
,10,36.852,39.616,4.606,5421.802,70.018,11.056,8.292,6560.380,379.526,18.426,123716.585
,11,55.278,18.426,6.449,3630.811,27.639,35.009,17.505,4393.281,254.157,26.717,109562.780
,12,84.759,16.583,7.370,4108.961,65.412,12.898,9.213,4971.843,287.627,23.032,127263.559
,13,18.426,19.347,13.819,5298.349,55.278,19.347,15.662,6411.002,370.884,28.560,97243.267
,14,36.852,40.537,15.662,2565.798,30.403,14.741,5.528,3104.615,179.606,29.481,109901.815
,15,60.805,40.537,5.528,4635.019,77.389,41.458,17.505,5608.373,324.451,23.032,127889.116
,16,27.639,35.009,8.292,4271.109,51.592,26.717,6.449,5168.041,298.978,22.111,104843.924
,17,35.009,17.505,14.741,2713.204,63.569,33.167,4.606,3282.977,189.924,19.347,136010.303
,18,88.444,38.694,8.292,2310.600,52.514,11.056,13.819,2795.826,161.742,23.032,123965.334
,19,33.167,19.347,14.741,3266.901,68.176,20.268,11.977,3952.950,228.683,20.268,122783.317
,20,80.152,25.796,15.662,4610.144,25.796,30.403,13.819,5578.274,322.710,18.426,138108.084
,21,36.852,27.639,11.977,2523.418,15.662,21.190,5.528,3053.336,176.639,19.347,112358.901
,22,72.782,8.292,9.213,4869.027,76.467,16.583,6.449,5891.523,340.832,21.190,136897.507
,23,54.356,41.458,15.662,5736.884,75.546,14.741,12.898,6941.629,401.582,22.111,119752.267
,24,18.426,10.134,5.528,3081.721,77.389,23.032,13.819,3728.882,215.720,22.111,103204.024
,25,55.278,36.852,15.662,4696.745,63.569,12.898,8.292,5683.062,328.772,23.032,129437.807
,26,19.347,16.583,9.213,4678.320,41.458,12.898,11.056,5660.767,327.482,23.954,126148.796
,27,83.838,14.741,17.505,2921.416,77.389,41.458,13.819,3534.914,204.499,22.111,107197.824
,28,75.546,30.403,7.370,5012.748,66.333,38.694,4.606,6065.426,350.892,25.796,132055.197
28,1,67.187,24.850,17.487,3920.778,90.196,22.089,12.885,4744.142,274.454,23.009,109458.740
,2,57.063,35.894,9.204,2948.867,75.470,12.885,14.726,3568.129,206.421,33.133,123665.578
,3,83.754,27.611,9.204,3660.313,40.496,25.770,11.965,4428.979,256.222,19.328,133863.283
,4,84.674,41.417,13.806,4587.126,54.302,11.965,15.646,5550.423,321.099,17.487,126245.377
,5,23.930,37.735,5.522,5244.271,33.133,23.930,14.726,6345.568,367.099,20.248,112863.190
,6,30.372,37.735,14.726,3426.539,63.506,35.894,10.124,4146.113,239.858,22.089,103067.687
,7,34.974,33.133,7.363,6277.847,36.815,38.656,13.806,7596.195,439.449,25.770,92558.897
,8,40.496,20.248,15.646,2468.434,60.744,34.054,6.443,2986.805,172.790,22.089,134089.694
,9,82.833,18.407,6.443,2801.608,83.754,12.885,11.044,3389.945,196.113,18.407,88064.728
,10,36.815,39.576,4.602,5416.380,69.948,11.044,8.283,6553.820,379.147,18.407,123592.869
,11,55.222,18.407,6.443,3627.180,27.611,34.974,17.487,4388.888,253.903,26.691,109453.217
,12,84.674,16.567,7.363,4104.852,65.346,12.885,9.204,4966.871,287.340,23.009,127136.295
,13,18.407,19.328,13.806,5293.051,55.222,19.328,15.646,6404.591,370.514,28.531,97146.023
,14,36.815,40.496,15.646,2563.232,30.372,14.726,5.522,3101.510,179.426,29.452,109791.914
,15,60.744,40.496,5.522,4630.384,77.311,41.417,17.487,5602.764,324.127,23.009,127761.227
,16,27.611,34.974,8.283,4266.837,51.541,26.691,6.443,5162.873,298.679,22.089,104739.080
,17,34.974,17.487,14.726,2710.491,63.506,33.133,4.602,3279.694,189.734,19.328,135874.292
,18,88.356,38.656,8.283,2308.289,52.461,11.044,13.806,2793.030,161.580,23.009,123841.369
,19,33.133,19.328,14.726,3263.634,68.107,20.248,11.965,3948.997,228.454,20.248,122660.534
,20,80.072,25.770,15.646,4605.534,25.770,30.372,13.806,5572.696,322.387,18.407,137969.976
,21,36.815,27.611,11.965,2520.895,15.646,21.169,5.522,3050.283,176.463,19.328,112246.542
,22,72.709,8.283,9.204,4864.158,76.391,16.567,6.443,5885.631,340.491,21.169,136760.609
,23,54.302,41.417,15.646,5731.147,75.470,14.726,12.885,6934.688,401.180,22.089,119632.515
,24,18.407,10.124,5.522,3078.639,77.311,23.009,13.806,3725.153,215.505,22.089,103100.820
,25,55.222,36.815,15.646,4692.049,63.506,12.885,8.283,5677.379,328.443,23.009,129308.369
,26,19.328,16.567,9.204,4673.641,41.417,12.885,11.044,5655.106,327.155,23.930,126022.647
,27,83.754,14.726,17.487,2918.495,77.311,41.417,13.806,3531.379,204.295,22.089,107090.626
,28,75.470,30.372,7.363,5007.736,66.267,38.656,4.602,6059.360,350.542,25.770,131923.142
29,1,67.120,24.825,17.470,3916.857,90.106,22.067,12.872,4739.397,274.180,22.986,109349.281
,2,57.006,35.859,9.195,2945.918,75.395,12.872,14.711,3564.561,206.214,33.100,123541.913
,3,83.670,27.584,9.195,3656.653,40.456,25.745,11.953,4424.550,255.966,19.308,133729.420
,4,84.589,41.375,13.792,4582.539,54.248,11.953,15.631,5544.873,320.778,17.470,126119.131
,5,23.906,37.697,5.517,5239.027,33.100,23.906,14.711,6339.222,366.732,20.228,112750.327
,6,30.342,37.697,14.711,3423.113,63.442,35.859,10.114,4141.966,239.618,22.067,102964.619
,7,34.939,33.100,7.356,6271.569,36.778,38.617,13.792,7588.599,439.010,25.745,92466.338
,8,40.456,20.228,15.631,2465.965,60.684,34.020,6.436,2983.818,172.618,22.067,133955.604
,9,82.751,18.389,6.436,2798.806,83.670,12.872,11.033,3386.555,195.916,18.389,87976.663
,10,36.778,39.536,4.597,5410.964,69.878,11.033,8.275,6547.266,378.767,18.389,123469.276
,11,55.167,18.389,6.436,3623.553,27.584,34.939,17.470,4384.499,253.649,26.664,109343.764
,12,84.589,16.550,7.356,4100.747,65.281,12.872,9.195,4961.904,287.052,22.986,127009.159
,13,18.389,19.308,13.792,5287.758,55.167,19.308,15.631,6398.187,370.143,28.503,97048.877
,14,36.778,40.456,15.631,2560.669,30.342,14.711,5.517,3098.409,179.247,29.422,109682.122
,15,60.684,40.456,5.517,4625.753,77.234,41.375,17.470,5597.162,323.803,22.986,127633.465
,16,27.584,34.939,8.275,4262.571,51.489,26.664,6.436,5157.710,298.380,22.067,104634.341
,17,34.939,17.470,14.711,2707.781,63.442,33.100,4.597,3276.414,189.545,19.308,135738.418
,18,88.267,38.617,8.275,2305.981,52.409,11.033,13.792,2790.237,161.419,22.986,123717.527
,19,33.100,19.308,14.711,3260.370,68.039,20.228,11.953,3945.048,228.226,20.228,122537.873
,20,79.992,25.745,15.631,4600.928,25.745,30.342,13.792,5567.123,322.065,18.389,137832.006
,21,36.778,27.584,11.953,2518.374,15.631,21.147,5.517,3047.232,176.286,19.308,112134.295
,22,72.637,8.275,9.195,4859.294,76.314,16.550,6.436,5879.745,340.151,21.147,136623.849
,23,54.248,41.375,15.631,5725.416,75.395,14.711,12.872,6927.753,400.779,22.067,119512.882
,24,18.389,10.114,5.517,3075.561,77.234,22.986,13.792,3721.428,215.289,22.067,102997.720
,25,55.167,36.778,15.631,4687.357,63.442,12.872,8.275,5671.701,328.115,22.986,129179.061
,26,19.308,16.550,9.195,4668.968,41.375,12.872,11.033,5649.451,326.828,23.906,125896.624
,27,83.670,14.711,17.470,2915.576,77.234,41.375,13.792,3527.847,204.090,22.067,106983.536
,28,75.395,30.342,7.356,5002.728,66.200,38.617,4.597,6053.301,350.191,25.745,131791.219
30,1,67.053,24.800,17.452,3912.941,90.016,22.045,12.859,4734.658,273.906,22.963,109239.932
,2,56.949,35.823,9.185,2942.972,75.320,12.859,14.696,3560.996,206.008,33.067,123418.371
,3,83.586,27.556,9.185,3652.996,40.415,25.719,11.941,4420.126,255.710,19.289,133595.690
,4,84.505,41.334,13.778,4577.957,54.193,11.941,15.615,5539.328,320.457,17.452,125993.012
,5,23.882,37.660,5.511,5233.788,33.067,23.882,14.696,6332.883,366.365,20.208,112637.576
,6,30.312,37.660,14.696,3419.690,63.379,35.823,10.104,4137.824,239.378,22.045,102861.655
,7,34.904,33.067,7.348,6265.298,36.741,38.578,13.778,7581.010,438.571,25.719,92373.872
,8,40.415,20.208,15.615,2463.499,60.623,33.986,6.430,2980.834,172.445,22.045,133821.649
,9,82.668,18.371,6.430,2796.007,83.586,12.859,11.022,3383.169,195.721,18.371,87888.687
,10,36.741,39.497,4.593,5405.553,69.808,11.022,8.267,6540.719,378.389,18.371,123345.807
,11,55.112,18.371,6.430,3619.929,27.556,34.904,17.452,4380.114,253.395,26.637,109234.420
,12,84.505,16.534,7.348,4096.647,65.216,12.859,9.185,4956.942,286.765,22.963,126882.150
,13,18.371,19.289,13.778,5282.470,55.112,19.289,15.615,6391.788,369.773,28.474,96951.828
,14,36.741,40.415,15.615,2558.108,30.312,14.696,5.511,3095.311,179.068,29.393,109572.440
,15,60.623,40.415,5.511,4621.128,77.157,41.334,17.452,5591.565,323.479,22.963,127505.832
,16,27.556,34.904,8.267,4258.308,51.438,26.637,6.430,5152.553,298.082,22.045,104529.706
,17,34.904,17.452,14.696,2705.073,63.379,33.067,4.593,3273.138,189.355,19.289,135602.680
,18,88.179,38.578,8.267,2303.675,52.356,11.022,13.778,2787.447,161.257,22.963,123593.810
,19,33.067,19.289,14.696,3257.110,67.971,20.208,11.941,3941.103,227.998,20.208,122415.335
,20,79.912,25.719,15.615,4596.327,25.719,30.312,13.778,5561.556,321.743,18.371,137694.174
,21,36.741,27.556,11.941,2515.855,15.615,21.126,5.511,3044.185,176.110,19.289,112022.161
,22,72.564,8.267,9.185,4854.434,76.238,16.534,6.430,5873.866,339.810,21.126,136487.225
,23,54.193,41.334,15.615,5719.690,75.320,14.696,12.859,6920.825,400.378,22.045,119393.369
,24,18.371,10.104,5.511,3072.485,77.157,22.963,13.778,3717.707,215.074,22.045,102894.722
,25,55.112,36.741,15.615,4682.669,63.379,12.859,8.267,5666.030,327.787,22.963,129049.882
,26,19.289,16.534,9.185,4664.299,41.334,12.859,11.022,5643.801,326.501,23.882,125770.728
,27,83.586,14.696,17.452,2912.661,77.157,41.334,13.778,3524.319,203.886,22.045,106876.552
,28,75.320,30.312,7.348,4997.725,66.134,38.578,4.593,6047.248,349.841,25.719,131659.428
31,1,66.986,24.776,17.435,3909.028,89.926,22.023,12.847,4729.923,273.632,22.940,109130.692
,2,56.892,35.787,9.176,2940.029,75.244,12.847,14.682,3557.435,205.802,33.034,123294.952
,3,83.503,27.528,9.176,3649.343,40.375,25.693,11.929,4415.706,255.454,19.270,133462.094
,4,84.420,41.293,13.764,4573.379,54.139,11.929,15.599,5533.788,320.137,17.435,125867.019
,5,23.858,37.622,5.506,5228.554,33.034,23.858,14.682,6326.550,365.999,20.187,112524.939
,6,30.281,37.622,14.682,3416.270,63.315,35.787,10.094,4133.687,239.139,22.023,102758.793
,7,34.869,33.034,7.341,6259.032,36.704,38.540,13.764,7573.429,438.132,25.693,92281.498
,8,40.375,20.187,15.599,2461.036,60.562,33.952,6.423,2977.853,172.272,22.023,133687.827
,9,82.585,18.352,6.423,2793.211,83.503,12.847,11.011,3379.786,195.525,18.352,87800.798
,10,36.704,39.457,4.588,5400.147,69.739,11.011,8.259,6534.178,378.010,18.352,123222.461
,11,55.057,18.352,6.423,3616.309,27.528,34.869,17.435,4375.734,253.142,26.611,109125.186
,12,84.420,16.517,7.341,4092.550,65.150,12.847,9.176,4951.986,286.479,22.940,126755.268
,13,18.352,19.270,13.764,5277.187,55.057,19.270,15.599,6385.397,369.403,28.446,96854.877
,14,36.704,40.375,15.599,2555.550,30.281,14.682,5.506,3092.215,178.888,29.364,109462.867
,15,60.562,40.375,5.506,4616.507,77.079,41.293,17.435,5585.973,323.155,22.940,127378.326
,16,27.528,34.869,8.259,4254.050,51.386,26.611,6.423,5147.400,297.783,22.023,104425.177
,17,34.869,17.435,14.682,2702.368,63.315,33.034,4.588,3269.865,189.166,19.270,135467.077
,18,88.091,38.540,8.259,2301.371,52.304,11.011,13.764,2784.659,161.096,22.940,123470.216
,19,33.034,19.270,14.682,3253.853,67.903,20.187,11.929,3937.162,227.770,20.187,122292.920
,20,79.832,25.693,15.599,4591.731,25.693,30.281,13.764,5555.995,321.421,18.352,137556.480
,21,36.704,27.528,11.929,2513.340,15.599,21.105,5.506,3041.141,175.934,19.270,111910.139
,22,72.491,8.259,9.176,4849.580,76.162,16.517,6.423,5867.992,339.471,21.105,136350.737
,23,54.139,41.293,15.599,5713.971,75.244,14.682,12.847,6913.904,399.978,22.023,119273.976
